iso_code,location,percent
AND,Andorra,23.545615738044393
SMR,San Marino,18.827184866521304
MNE,Montenegro,17.313422878633002
CZE,Czechia,15.781221314967192
QAT,Qatar,15.275058832513034
BHR,Bahrain,15.197469650319732
LUX,Luxembourg,14.857250118215395
USA,United States,14.132593649621176
ISR,Israel,13.636993574405112
PAN,Panama,13.438858358085533
SVN,Slovenia,12.155599605951517
BEL,Belgium,11.783597230486325
ARM,Armenia,11.267614707444636
ESP,Spain,10.681529117566432
PRT,Portugal,10.464830851764201
